"ROUTE_ID","STATION_SEQNO","STATION_NEXT_SEQNO","STATION_NAME_CHI","STATION_NAME_ENG"
"K75P",7.00,8.00,"沙洲里村","Sha Chau Lei Tsuen"
"K75P",8.00,9.00,"廈村市","Ha Tsuen Shi"
"K75P",9.00,10.00,"新屋村","San Uk Tsuen"
"K75P",10.00,11.00,"李屋村","Lee Uk Tsuen"
"K75P",11.00,12.00,"新生村","San Sang Tsuen"
"K75P",12.00,13.00,"新李屋村","San Lee Uk Tsuen"
"K75P",13.00,14.00,"田心","Tin Sam"
"K75P",14.00,15.00,"鄉事委員會","Rural Committee"
"K75P",15.00,16.00,"輕鐵洪水橋站","LR Hung Shui Kiu Stop"
"K75P",16.00,17.00,"洪水橋巴士廠","Hung Shui Kiu Bus Depot"
"K75P",17.00,18.00,"洪福&#37032;","Hung Fuk Estate"
"K75P",18.00,19.00,"石&#22487;村","Shek Po Tsuen"
"K75P",19.00,20.00,"天盛苑","Tin Shing Court"
"K75P",20.00,21.00,"天水圍警署","Tin Shui Wai Police Station"
"K75P",21.00,22.00,"賞湖居","Sherwood Court"
"K75P",22.00,1.00,"天水圍公園","Tin Shui Wai Park"
"K76",1.00,2.00,"天恆","Tin Heng"
"K76",2.00,3.00,"天逸&#37032;逸潭樓","Yat Tam House, Tin Yat Estate"
"K76",3.00,4.00,"天富苑欣富閣","Yan Fu House, Tin Fu Court"
"K76",4.00,5.00,"天盛苑","Tin Shing Court"
"K76",5.00,6.00,"天水圍站","Tin Shui Wai Station"
"K76",6.00,7.00,"天恩&#37032;","Tin Yan Estate"
"K76",7.00,1.00,"天澤&#37032;","Tin Chak Estate"
